hour,page,views
10,/interactive/erp,1
10,/marketing-contributions,1
10,/marketing-volume,1
10,/political_influence?source=d3js,1
11,/2013-federal-budget,12
11,/political_influence,10
11,/d3-mobile-web-application,9
11,/download/radial-progress-source-code,7
11,/2015-nfl-predictions,6
11,/data-visualization-open-source,4
11,/download/d3-federal-budget-source-code,4
11,/united-states-trade-deficit,4
11,home,3
11,/2013-federal-budget?source=d3js,2
11,/data-visualization-articles,2
11,/download/key-performace-indicators,2
11,/project-list,2
11,/dashboard-design-executive-dashboards-part-2,1
11,/data-visualization-services,1
11,/download/autocomplete-source-code,1
11,/download/mobile-data-visualization-design,1
12,/download/radial-progress-source-code,23
12,/d3-mobile-web-application,12
12,/political_influence,12
12,/united-states-trade-deficit,10
12,/2013-federal-budget,9
12,/2015-nfl-predictions,9
12,/project-list,4
12,/download/autocomplete-source-code,3
12,home,3
12,/download/d3-federal-budget-source-code?replytocom=49,2
12,/d3-mobile-web-application?replytocom=36,1
12,/d3-mobile-web-application/www.d3js.org,1
12,/data-visualization-open-source,1
12,/download/d3-federal-budget-source-code,1
12,/download/key-performace-indicators,1
12,/erp-mockups,1
12,/interactive/erp,1
12,/marketing-contributions,1
12,/swell-watcher,1
13,/download/radial-progress-source-code,15
13,/d3-mobile-web-application,11
13,/2015-nfl-predictions,9
13,/2013-federal-budget,7
13,/political_influence,7
13,/united-states-trade-deficit,6
13,home,2
13,/2013-federal-budget?source=d3js,1
13,/download/autocomplete-source-code,1
13,/download/key-performace-indicators,1
13,/political_influence?source=d3js,1
13,/project-list,1
14,/d3-mobile-web-application,18
14,/download/radial-progress-source-code,14
14,/2013-federal-budget,11
14,/2015-nfl-predictions,10
14,/political_influence,4
14,/project-list,4
14,/united-states-trade-deficit,4
14,/data-visualization-articles,2
14,/data-visualization-open-source,2
14,/download/autocomplete-source-code,2
14,home,2
14,/download/d3-federal-budget-source-code,1
14,/interactive/swell,1
14,/political_influence?source=d3js,1
14,/swell-watcher,1
15,/d3-mobile-web-application,16
15,/download/radial-progress-source-code,10
15,/2013-federal-budget,6
15,/political_influence,4
15,/2015-nfl-predictions,3
15,/download/key-performace-indicators,3
15,home,3
15,/dashboard-design-executive-dashboards-part-1,1
15,/dashboard-design-executive-dashboards-part-2,1
15,/data-visualization-articles,1
15,/data-visualization-open-source,1
15,/download/autocomplete-source-code,1
15,/download/d3-federal-budget-source-code,1
15,/united-states-trade-deficit,1
16,/2013-federal-budget,8
16,/download/key-performace-indicators,8
16,/download/radial-progress-source-code,8
16,/d3-mobile-web-application,6
16,/data-visualization-articles,4
16,/political_influence,4
16,/2015-nfl-predictions,3
16,/data-visualization-open-source,3
16,/united-states-trade-deficit,3
16,/data-visualization-services,2
16,/download/autocomplete-source-code,2
16,/2013-federal-budget?source=d3js,1
16,/download/d3-federal-budget-source-code,1
16,home,1
16,/interactive/kpi_wheel,1
16,/project-list,1
17,/d3-mobile-web-application,11
17,/2015-nfl-predictions,5
17,/political_influence,4
17,/2013-federal-budget,3
17,/data-visualization-open-source,3
17,/download/d3-federal-budget-source-code,3
17,/download/radial-progress-source-code,3
17,/interactive/kpi_wheel,3
17,/download/key-performace-indicators,2
17,/united-states-trade-deficit,2
17,/2013-federal-budget?source=d3js,1
17,/2015-nfl-predictions/scripts/nfl_predictions.min.js,1
17,/d3-mobile-web-application?replytocom=36,1
17,/download/autocomplete-source-code,1
17,home,1
17,/political_influence?source=d3js,1
17,/scripts/nfl_predictions.min.js,1
18,/download/radial-progress-source-code,10
18,/political_influence,8
18,/united-states-trade-deficit,7
18,/d3-mobile-web-application,6
18,/2013-federal-budget,3
18,/download/autocomplete-source-code,3
18,/download/key-performace-indicators,3
18,/project-list,3
18,/2015-nfl-predictions,2
18,/dashboard-design-executive-dashboards-part-2,2
18,/data-visualization-open-source,1
18,home,1
18,/interactive/kpi_wheel,1
18,/interactive/ustrade?source=d3js,1
19,/d3-mobile-web-application,11
19,/download/radial-progress-source-code,11
19,/2013-federal-budget,8
19,/political_influence,8
19,/2015-nfl-predictions,5
19,home,4
19,/download/autocomplete-source-code,3
19,/download/key-performace-indicators,3
19,/united-states-trade-deficit,2
19,/data-visualization-open-source,1
19,/download/d3-federal-budget-source-code,1
19,/project-list,1
20,/d3-mobile-web-application,16
20,/2013-federal-budget,7
20,/download/radial-progress-source-code,7
20,/political_influence,6
20,/download/key-performace-indicators,3
20,home,3
20,/united-states-trade-deficit,3
20,/2015-nfl-predictions,2
20,/data-visualization-open-source,2
20,/project-list,2
20,/d3-mobile-web-application/www.d3js.org,1
20,/data-visualization-services,1
20,/download/autocomplete-source-code,1
21,/d3-mobile-web-application,18
21,/download/radial-progress-source-code,9
21,/2013-federal-budget,5
21,/download/d3-federal-budget-source-code,5
21,/political_influence,5
21,/2015-nfl-predictions,3
21,/data-visualization-open-source,3
21,/download/autocomplete-source-code,3
21,/political_influence?source=d3js,3
21,/project-list,3
21,/download/key-performace-indicators,2
21,home,2
21,/interactive/ustrade?source=d3js,2
21,/d3-mobile-web-application/www.d3js.org,1
21,/download/d3-mobile-data-visualization,1
21,/download/d3-mobile-web-application,1
22,/d3-mobile-web-application,22
22,/2013-federal-budget,9
22,/download/radial-progress-source-code,9
22,/political_influence,8
22,/2015-nfl-predictions,6
22,home,6
22,/download/autocomplete-source-code,3
22,/project-list,3
22,/united-states-trade-deficit,3
22,/d3-mobile-web-application?replytocom=36,2
22,/download/d3-federal-budget-source-code,2
22,/data-visualization-articles,1
22,/data-visualization-open-source,1
22,/download/key-performace-indicators,1
22,/download/mobile-data-visualization-design,1
22,/interactive/ustrade,1
23,/download/radial-progress-source-code,19
23,/d3-mobile-web-application,13
23,/2013-federal-budget,8
23,/political_influence,6
23,/2015-nfl-predictions,2
23,/data-visualization-open-source,2
23,/download/autocomplete-source-code,2
23,/download/key-performace-indicators,2
23,/data-visualization-articles,1
23,/data-visualization-services,1
23,/download/radial-progress-source-code?source=d3js,1
23,home,1
